;Noms_R;ID_ech;Bioreacteur;Inoculum;Material;Day;Jour;Campaign;Camp_graph;Camp_graphique;Camp_Day_Mat;graphe_ATB;Camp_Day;Camp_Jour;campaign  ;Campagne  ;Dosage;FQ1;FQ2;ATB_type;Type_ATB;ATB_camp;ATB;;16S (log absolu);qnrA;qnrB;qnrC;qnrD;qnrS
DBIbiofilm120_ACGATC-K37J4_L001;DPEJ0;120;0;Waste Water (in situ);0;Day 00;Jour 00;D_envt;Waste Water;Eaux Usées;Inoc;AJ14P;Inoc;Inoc;autre;autre;;;;envt;envt;envt;/;;8.079619535;-5.487417333;-3.515218407;-8.36378312;-4.260473324;-4.678335986
DBIbiofilm121_CGCTCT-K37J4_L001;EPEJ0;121;0;Waste Water (in situ);0;Day 00;Jour 00;E_envt;Waste Water;Eaux Usées;Inoc;AJ14P;Inoc;Inoc;autre;autre;;;;envt;envt;envt;/;;8.109176859;-5.563783629;-3.462517204;-8.393340443;-4.189582018;-4.667518649
DBIbiofilm122_GATAGA-K37J4_L001;FPEJ0;122;0;Waste Water (in situ);0;Day 00;Jour 00;F_envt;Waste Water;Eaux Usées;Inoc;Inoc;Inoc;Inoc;autre;autre;;;;envt;envt;envt;/;;8.06484031;-5.539989578;-3.496571349;-8.349003894;-4.143579579;-4.578636494
VD-DBIbiofilm-ech34_TCCATT-JNFP8_L001;BJ14B4P;34;B4;BF;P;Day 14;Jour 14;B;B;B;BJ14P;Biofilm;BJ14;BJ14;autre;autre;;;;Control;Témoin;Control;/;;7.890519616;-5.157316307;-2.716955031;-7.949373919;-2.0532813;-4.371569289
VD-DBIbiofilm-ech54_ACCTCA-JNFP8_L001;APEJ0;54;0;Waste Water (in situ);0;Day 00;Jour 00;A_envt;Waste Water;Eaux Usées;Inoc;Inoc;Inoc;Inoc;autre;autre;;;;envt;envt;envt;/;;7.429918418;-5.016039837;-3.353711457;-7.714082002;-4.236108066;-4.098865692
VD-DBIbiofilm-ech55_CCCGAG-JNFP8_L001;APBJ0;55;0;Sewer BF;0;Day 00;Jour 00;A_envt;Sewer BF;BF des égouts;BF;BJ14P;Sewer BF;BF des égouts;autre;autre;;;;envt;envt;envt;/;;9.474770445;-7.803757445;-4.973677952;-7.644990677;-5.523314444;-5.205571868
VD-DBIbiofilm-ech55bis_GGACGG-JNFP8_L001;APBJ0_bis;55bis;0;Sewer BF;0;Day 00;Jour 00;A_envt; BF_envt; BF_envt;BF;BJ07C;  BF;  BF;autre;autre;;;;envt;envt;envt;/;;9.474770445;-7.803757445;-4.973677952;-7.644990677;-5.523314444;-5.205571868
VD-DBIbiofilm-ech56_GGTATA-JNFP8_L001;BPEJ0;56;0;Waste Water (in situ);0;Day 00;Jour 00;B_envt;Waste Water;Eaux Usées;Inoc;BJ07C;Inoc;Inoc;autre;autre;;;;envt;envt;envt;/;;8.112033529;-5.745176582;-3.594931241;-8.396197113;-4.600002168;-4.657541287
VD-DBIbiofilm-ech57_GTGCTG-JNFP8_L001;APEJ21;57;0;Waste Water (in situ);0;J21;J21;A_envt;Waste Water;Eaux Usées;Inoc;BJ07C;Inoc;Inoc;autre;autre;;;;envt;envt;envt;/;;7.68869015;-2.495005469;-3.627473847;-7.972853734;-4.895026558;-5.239372741
VD-DBIbiofilm-ech58_CCCTCC-JNFP8_L001;BPEJ14;58;0;Waste Water (in situ);0;J14_envt;J14_envt;B_envt;Waste Water;Eaux Usées;Inoc;BJ07C;Inoc;Inoc;autre;autre;;;;envt;envt;envt;/;;8.266348118;-5.86493247;-3.937675419;-8.550511702;-4.938419553;-5.046591705
