;EJ14B3C11;EJ14B4C11;EJ14B1C12;EJ14B2C12;EJ14B3C12;EJ14B4C12;FJ14B1C11 ;FJ14B2C11;FJ14B3C11;FJ14B4C11;FJ14B1C12;FJ14B2C12;FJ14B3C12;FJ14B4C12;CPEJ0;DPEJ0;EPEJ0;FPEJ0;EJ14B1C11;EJ14B2C11;APEJ0;APBJ0;APBJ0_bis;BPEJ0;APEJ21;BPEJ14;order
Cluster_1;389;32;380;90;412;40;420;843;733;842;745;837;724;720;319;263;282;242;548;136;443;8;0;382;136;218;90
Cluster_100;0;0;55;0;0;0;5;6;39;56;7;2;20;65;0;0;0;0;54;0;0;0;0;0;0;0;16
Cluster_107;4;0;0;1;0;0;2;0;0;1;0;0;0;0;229;324;134;138;0;0;365;204;135;327;134;112;98
Cluster_11;9;1;26;0;11;0;1;80;18;4;6;20;14;0;2;0;0;0;33;0;1;2;0;1;1;1;38
Cluster_110;4;0;14;0;0;0;22;16;64;29;32;16;85;52;0;2;0;0;4;0;0;0;0;0;0;0;6
Cluster_120;3;0;5;0;7;0;8;17;58;9;10;6;93;17;0;0;0;0;3;0;0;0;0;0;0;0;62
Cluster_121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;303;343;1;0;0;33
Cluster_130;22;92;61;230;19;65;0;0;0;0;0;0;0;0;0;0;0;0;57;51;0;0;0;0;0;0;54
Cluster_132;318;0;0;0;379;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;49
Cluster_134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;132;176;194;0;0;69;0;0;45;43;26;100
Cluster_147;0;0;7;0;0;0;152;12;116;44;95;18;121;59;1;0;1;3;6;0;3;2;0;0;6;0;10
Cluster_148;18;6;33;6;23;0;5;12;17;26;3;21;3;13;0;0;0;2;35;1;0;0;0;0;0;0;75
Cluster_15;68;17;211;55;65;22;468;562;824;395;583;681;835;306;4;12;9;5;219;97;14;180;119;10;5;5;45
Cluster_158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;44;18;4;0;0;60;0;0;48;119;47;44
Cluster_159;0;0;0;0;0;0;0;0;0;0;2;0;0;0;45;18;44;30;0;0;36;0;0;24;32;24;12
Cluster_160;0;0;117;0;0;0;0;0;0;0;0;0;0;0;1;3;0;2;326;0;1;0;0;1;0;0;70
Cluster_162;0;0;0;0;0;0;0;0;0;0;0;0;0;2;255;222;227;195;0;0;269;0;0;267;126;115;73
Cluster_17;22;15;69;29;20;18;628;56;260;271;423;74;300;252;0;0;0;0;33;42;0;0;0;0;2;0;40
Cluster_172;124;2;2;11;163;0;3;17;0;1;2;8;3;2;0;0;0;1;0;4;0;0;0;0;0;0;30
Cluster_180;0;4;1;12;0;7;0;5;0;0;0;6;1;0;7;25;23;19;2;35;13;4;5;10;39;18;88
Cluster_181;3;19;12;0;10;13;2;28;0;20;4;15;5;93;0;0;0;0;11;0;0;0;0;0;0;0;24
Cluster_188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;108;152;117;0;0;157;0;0;171;19;36;67
Cluster_19;3;0;79;0;18;0;3;58;78;267;0;111;119;69;0;0;0;0;61;0;0;0;0;0;0;0;51
Cluster_190;0;0;265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;0;0;0;0;0;0;0;77
Cluster_2;162;174;337;82;283;83;181;1045;1757;601;231;918;1545;710;0;0;0;0;332;126;5;0;3;8;3;3;43
Cluster_20;58;73;397;69;101;73;1323;839;541;420;1270;989;410;485;31;28;21;25;420;59;37;8;3;30;17;7;5
Cluster_201;0;0;0;3;0;0;0;0;0;0;0;0;0;0;419;285;231;237;3;0;586;0;0;474;48;174;91
Cluster_204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;1;3;0;0;7;0;7;7;247;25;26
Cluster_208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;55;83;77;0;0;84;6;2;83;80;47;79
Cluster_21;0;0;831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;438;0;0;0;0;0;0;0;56
Cluster_210;0;0;0;3;0;0;0;0;0;0;0;0;0;0;120;86;144;93;0;0;157;0;0;134;41;35;65
Cluster_216;3;0;14;19;1;0;21;2;0;1;2;12;0;5;95;157;117;146;7;6;27;0;0;98;34;156;83
Cluster_218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176;252;0;0;0;41
Cluster_219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;25;41;39;0;0;26;2;3;35;30;21;82
Cluster_221;1;164;0;0;1;107;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;1;0;78
Cluster_226;0;0;6;0;0;0;0;0;0;0;0;0;0;0;13;12;31;46;15;0;24;32;56;20;41;11;31
Cluster_227;0;0;0;0;0;0;116;9;0;13;120;1;2;3;0;0;0;0;2;0;2;0;0;1;0;0;2
Cluster_23;25;8;303;7;65;17;1518;464;244;264;2379;457;241;310;74;102;94;151;366;13;130;384;1012;102;32;32;4
Cluster_232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229;290;0;2;0;80
Cluster_24;50;0;58;43;32;0;531;419;17;1332;182;677;44;1570;7;5;6;22;46;25;12;4;0;6;0;7;86
Cluster_240;0;0;0;2;0;2;0;0;0;0;0;0;0;0;81;51;54;58;0;0;97;0;18;110;52;32;74
Cluster_242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;42;32;48;0;0;22;0;0;31;67;12;19
Cluster_248;0;0;0;0;0;0;0;0;0;0;0;0;0;1;26;34;58;23;0;0;65;3;6;25;74;32;29
Cluster_25;37;11;54;13;48;7;7;29;12;19;24;9;7;12;5;10;6;3;41;19;1;0;0;8;6;9;57
Cluster_250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;132;160;0;2;0;48
Cluster_252;0;0;0;0;0;0;0;0;41;1;0;0;57;2;12;8;13;11;0;0;17;30;11;19;15;10;63
Cluster_259;0;0;0;0;0;3;0;1;0;0;0;0;0;1;45;37;76;97;0;0;30;0;1;27;44;24;59
Cluster_26;17;2;2;10;21;0;4;165;32;67;11;90;29;81;5;4;4;7;2;10;4;0;11;2;1;3;34
Cluster_27;107;873;407;196;161;571;117;650;20;19;132;295;25;31;0;0;0;0;283;181;0;3;0;0;0;0;18
Cluster_275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;16;13;14;0;0;14;425;408;16;18;6;28
Cluster_279;0;0;165;0;0;0;0;0;0;8;0;0;1;5;1;0;1;0;207;0;4;3;4;2;12;1;55
Cluster_281;19;110;14;17;19;64;0;0;6;1;0;0;7;0;0;0;0;2;9;17;0;0;0;0;0;0;89
Cluster_289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;81;0;0;0;97
Cluster_3;4459;346;848;2731;3154;507;348;512;5;31;124;704;9;44;4239;4427;4584;4481;353;2197;3427;10;20;4114;1592;3511;84
Cluster_30;23;114;23;174;20;118;229;150;236;288;186;189;316;271;2;0;2;0;19;168;1;0;0;1;0;3;8
Cluster_304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;100;135;0;0;0;81
Cluster_31;65;5;20;4;68;7;259;175;238;166;270;208;325;131;0;0;0;0;24;2;0;0;0;0;0;0;46
Cluster_318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;145;216;0;0;0;35
Cluster_322;0;0;2;0;0;0;0;0;0;0;0;0;0;0;60;57;67;75;0;0;55;7;1;43;47;31;14
Cluster_325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;22;18;31;0;0;17;170;237;9;35;14;32
Cluster_33;0;0;31;0;0;0;167;148;40;159;73;133;31;174;7;2;3;5;18;0;6;4;0;4;3;4;1
Cluster_346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;31;25;8;0;0;19;117;41;21;258;118;92
Cluster_35;156;163;162;82;151;146;16;134;60;7;24;105;65;2;14;13;20;20;321;53;18;0;0;7;4;3;68
Cluster_36;0;0;16;0;0;0;160;37;332;138;63;53;333;97;2;0;0;0;28;0;0;3;0;0;2;0;37
Cluster_389;0;0;0;0;0;0;0;0;0;0;2;0;0;0;26;29;21;22;0;0;51;0;0;35;23;27;96
Cluster_39;18;0;6;0;30;0;267;14;54;57;596;25;63;40;0;0;0;0;7;0;0;0;0;0;0;0;50
Cluster_393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;21;28;11;0;0;47;29;43;50;9;9;23
Cluster_4;3140;2180;2615;3553;4058;1621;0;0;0;0;0;0;0;0;10;1;12;18;3388;4447;10;2;0;10;37;20;53
Cluster_40;92;344;27;37;94;280;81;133;94;48;108;76;202;41;0;1;6;3;45;28;1;0;0;1;1;2;95
